Gene,Anastrozole,Abiraterone,Bexarotene,Metformin,Dexamethasone,Cigarette smoke,Harman,Plx4032,Atorvastatin,Vemurafenib,Trastuzumab,Gatifloxacin,"2,3,7,8-tetrachlorodibenzo-p-dioxin",Formoterol,Ubiquinol,Temozolomide,Hodgkin lymphoma,Pimecrolimus,Chlorpyrifos,Letrozole,Tibolone,Diclofenac,Cadmium,Colchicine,Propofol,Sevoflurane,Nsc319726,Nvp-tnks656,Gefitinib,Estradiol,"Dmnq   (2,3-dimethoxy-1,4-naphthoquinone)",Mercury,Chromium,Metoprolol,Imatinib,Doxorubicin,Apratoxin a,Hydroxyzine,Ribavirin,Sorafenib,Argyrin a,Lysophosphatidic acid,Adenosine triphosphate,Torcetrapib,Nickel,Deferasirox,Alfacalcidol,Plx4720,Fluorouracil,Epz004777,Chlorambucil,Thapsigargin,Bpde,"2,2',4,4',5,5'-hexachlorobiphenyl   (pcb-153)",Phenol,Nilotinib,Quercetin,Imatinib (glivec),Luteolin,Nitric oxide,Phorbol 12-myristate 13-acetate (pma),Bortezomib,"3,3',4,4'-tetrachlorobiphenyl",Foretinib,Neocarzinostatin,R1881,Mk-886,Fenretinide,Telapristone acetate,Testosterone,Curcumin,Cediranib,Vx,"Puromycin, 2xec50, 3 d",Mek inhibitor (meki : azd6244),"Puromycin, ec50, 3 d",Triiodothyronine-[13c6] hydrochloride (t3 thyronine),Sapphyrin pci-2050 (2.5 &icirc;&frac14;m),"1,25 dihydroxyvitamin d",Paclitaxel,Isotretinoin,Folic acid,"2,3-dimethoxy-1,4-naphtoquinone (dmnq)",Mesalazine,Levofloxacin,Heregulin,Lmp-420,Mycophenolic acid,Lipopolysaccharide,Ethanol,Azathioprine,Fluticasone,Aplidin,Celecoxib,Resveratrol,4-hydroxytamoxifen,Cholestyramine,Actinomycin d,Grepafloxacin,Cocaine,Citalopram,"1,2,4-benzenetriol",Bisphenol a,Aminolevulinic acid,Calcitriol,Sirolimus,Sb 216763,Cyfluthrin,Dasatinib,Androstanolone,Carboplatin,Sapphyrin pci-2050 (1.25 &icirc;&frac14;m),Carboplatin (30 h),Carboplatin (24 h),Carboplatin (36 h),Methylphenidate,Laminin,Vanadium pentoxide,Cytarabine,"Puromycin, 2xec50, 1d","Puromycin, ec50, 5 d","Puromycin, ec50, 1 d",Hydrocortisone,Hypochlorous acid,Decitabine,Y15,Azacitidine,Methotrexate,Zinc acetate,Arsenic,"2,3,7,8-tetrachlorodibenzo-p-dioxin (tcdd)",Cisplatin,Insulin,Motexafin gadolinium (4 h),Arachidonic acid,Promegestone,Doxycycline,Fgfr-specific pd173074 inhibitor,Antimony,Mln4924,Sangivamycin (nsc 65346),Gamma-tocotrienol,Pioglitazone,Tretinoin,Cycloheximide,Ciprofloxacin,Motexafin gadolinium,Nicotine,Sulforaphane
GGCT,4628.25,134.11,7715.59,36024.97,551.15,19822.58,2399.28,4995.78,468.54,4454.46,709.88,1729.13,9933.93,1877.03,15725.4,17414.64,732.32,469.19,362.53,23791.09,953.91,11466.77,461989.88,2884.8,15847.58,31315.15,11021.71,339.73,603478.91,314.67,131647.93,500915.44,276191.87,2440.85,4789.41,16434.8,948.36,144644.64,33055.82,4995.71,2518.65,86125.58,3464.55,827.41,225726.29,2296.75,5028.01,4828.06,49909.17,158.83,99037.0,179.31,24696.96,2996.33,206532.33,4763.62,5301.89,3429.23,4343.63,173062.09,476.71,8121.2,58486.84,1438.84,503.84,290.06,261.28,89.94,613.58,327.74,160604.45,2868.33,8838.92,31990.42,7226.61,32180.99,747.93,23500.68,25091.82,3690.3,1126.03,4433.22,128907.55,59272.4,10245.47,80550.38,946.88,129233.14,8192.42,157743.51,8535.47,132.38,1197.09,4763.09,4643.0,305.78,11707.04,1380.73,4835.82,23546.49,1946.5,54813.47,85229.75,105047.49,44.67,596.95,14756.81,384.9,3076.69,757.15,66369.95,24140.32,13015.02,12979.21,12979.21,26527.36,6774.34,267889.63,38699.48,31990.31,63483.21,36858.28,1644.95,184243.42,22745.2,177.38,36762.58,3280.72,78376.46,253905.79,1634127.27,203161.49,46605.34,46544.78,29703.7,3374.85,3219.16,21026.16,319070.96,3537.12,8210.3,1494.7,10740.25,3533.19,9470.02,14430.41,45949.29,3047.91,61313.59
LYZ,4647.76,134.18,7350.27,42825.49,521.46,24232.29,2420.04,4641.07,332.07,4178.96,608.0,1657.02,6835.43,2046.17,15632.13,16086.92,718.05,450.36,359.93,20669.41,889.65,13110.82,431537.88,3461.49,8126.51,33177.01,10480.4,307.65,584697.78,292.7,125494.57,453894.99,259686.85,2371.48,4354.82,15946.68,895.28,133447.28,34550.2,4407.48,2020.62,85983.8,3415.72,801.65,208810.87,2346.57,4692.08,5069.56,52248.73,137.45,93547.43,156.87,23583.36,2660.68,167593.35,4925.88,5217.01,3136.11,3616.5,163033.28,439.71,8643.68,52345.81,1115.91,490.36,269.8,242.67,76.58,577.13,301.22,143695.82,3138.84,9233.13,30266.78,7465.52,30450.49,723.75,22399.66,24237.65,3969.2,1146.86,3574.98,122855.32,62411.57,9499.7,75959.56,825.24,106172.2,8332.31,154664.76,7447.4,149.93,906.96,4807.24,4376.2,299.18,12757.74,1333.29,3579.77,26111.82,1738.19,47362.52,63847.9,111875.39,41.59,578.97,16297.19,305.02,2659.79,724.77,76688.29,23016.17,13603.23,13568.72,13568.72,24623.49,5701.76,218272.65,37688.15,30266.68,60662.45,34956.57,1467.88,175973.67,23555.1,154.52,34178.51,2318.91,72320.17,235055.14,1584016.49,190039.13,44465.42,45933.0,41053.61,2850.76,3222.95,23380.21,290405.3,3394.04,8460.21,1646.18,9160.41,3408.82,8832.76,15855.79,45359.35,3196.79,60247.01
APP,7151.48,542.19,9281.16,28497.53,555.25,45228.88,3269.97,6183.22,445.98,5736.31,3101.27,1687.55,11506.95,12124.67,31280.27,46330.33,1195.84,447.59,729.03,41177.52,1036.0,6970.76,525244.42,2239.42,35963.76,34050.79,15057.04,233.18,577226.2,307.49,119637.25,554057.76,348281.95,3783.2,6424.52,32180.86,1270.27,224078.64,37213.04,6849.13,5038.72,91587.58,8695.87,933.43,276165.18,4959.2,4839.58,5575.84,61680.06,3149.57,92744.33,154.24,52619.81,22194.1,262791.75,5491.29,8886.32,5595.5,11148.51,185709.76,361.17,6338.14,146959.6,4006.72,2129.1,422.62,2505.61,9151.62,681.96,323.36,214032.64,6239.19,5849.18,48322.86,6533.93,48500.73,691.94,38025.18,23712.58,3232.8,947.02,14324.53,117079.17,71244.14,9370.06,106342.81,1699.32,245530.56,8970.13,160771.35,12546.02,191.55,746.56,8656.47,5827.63,374.44,20235.01,1387.12,2683.94,22170.76,10280.98,42694.44,120824.52,90294.03,146.32,726.59,9674.19,2165.38,6468.94,685.83,33788.82,38622.18,14986.37,14953.0,14953.0,43430.29,10610.08,187104.39,66336.59,48322.76,78006.74,52866.95,5787.66,183884.66,35522.64,313.34,66680.71,3444.2,135415.39,278242.38,1571540.79,201363.84,65855.64,46535.57,23531.05,14748.72,3414.37,16949.42,397763.16,4245.24,14514.43,2437.35,10461.76,3352.22,11929.51,11549.45,45980.22,5317.22,59706.19
PPAP2B,3427.35,145.58,6432.03,32462.7,458.31,19034.69,1452.93,4737.74,318.54,4309.04,654.41,1232.61,5323.27,1616.73,11625.08,11946.9,586.89,395.81,212.7,14101.15,789.36,13254.44,373000.14,2365.41,16041.61,26176.45,9654.31,243.68,527419.11,258.81,121369.3,409049.15,213459.84,1726.6,4553.44,11601.75,640.45,126768.3,25229.86,4029.79,1873.37,76563.94,3221.88,699.07,166991.36,1861.89,4036.14,4874.67,50245.8,123.63,92631.1,130.12,21149.15,2752.07,138040.61,5152.6,4023.39,3516.46,3524.96,117766.34,359.12,7149.68,47034.13,911.31,386.42,242.33,223.16,93.54,463.94,266.96,145997.23,3146.81,7487.45,29175.02,6859.29,29335.61,623.81,17387.58,21379.29,2967.85,890.38,3296.92,119060.0,48611.28,7538.18,66177.9,684.74,109429.23,7324.09,104838.77,5886.25,88.08,720.47,4084.53,3929.48,203.53,9882.91,1158.35,2725.64,20568.48,1580.34,50558.14,82732.72,91096.53,40.25,487.63,11449.91,271.69,2860.56,620.18,42742.02,17926.42,9538.99,9508.87,9508.87,20617.32,4752.6,161181.75,28902.56,29174.93,56027.17,33277.55,1447.43,128947.66,18455.28,137.88,28583.27,1807.85,61362.23,195465.08,1438541.14,182947.69,40493.46,42132.53,24144.14,2632.01,2654.67,18986.16,248112.63,2971.23,6692.72,1295.98,8515.01,2997.35,6817.51,11632.83,41631.74,3183.68,62024.44
MMP12,177508.94,44521.64,30977.89,808727.13,8537.11,527922.01,88058.0,65733.61,14799.21,63933.42,117153.53,48757.5,160829.11,230217.7,616956.78,554212.09,49030.13,1751.61,28024.89,437712.97,9787.76,154296.35,4115436.04,27541.3,568654.49,869923.67,158721.45,4253.27,662020.93,7420.1,622843.87,4218043.87,3946560.52,92657.19,70160.86,340683.35,84356.84,1050841.82,578635.16,91762.77,178308.86,710704.7,69978.05,15255.29,3777820.85,95675.47,18095.36,58104.77,1271566.68,44696.19,629960.63,3680.48,536711.22,539345.56,3116897.5,38497.66,262591.07,66121.02,275646.08,3586772.42,4386.81,141289.18,1186778.18,22899.67,38367.41,16114.47,119736.81,140596.94,16724.21,4084.97,1237456.26,64841.59,132810.0,434578.78,57108.85,434764.59,3123.06,337406.52,32704.92,59792.24,7748.92,416612.74,620173.19,1049257.12,55846.51,699942.25,26730.91,1250087.98,42106.97,3482912.93,419283.12,6081.03,7567.99,145143.74,42496.57,9573.6,326105.69,9044.32,73065.62,160602.05,300586.5,840443.96,728015.25,1502278.25,7040.73,6156.52,133694.0,110292.69,18626.99,4423.49,1643288.43,338029.83,362512.19,362477.32,362477.32,577233.12,238510.2,2823362.83,473117.15,434578.67,465439.88,439323.72,163812.65,3530487.86,407823.01,11701.2,620935.18,66727.68,926064.67,3732781.03,2055221.47,1344955.09,406733.87,274885.33,235964.12,293191.68,24907.92,41739.14,4041521.63,76230.18,243748.87,54224.19,75327.13,7701.08,181022.51,52567.33,274305.68,108644.15,974866.15
SERPINB2,5834.46,480.73,8012.9,25497.19,483.11,42718.2,2390.32,5916.8,193.43,5557.87,2677.52,1152.09,8374.99,9498.18,31851.15,38348.28,911.64,393.38,379.17,39957.46,851.03,4454.51,485506.42,2094.25,45776.45,26258.82,13266.72,151.36,530633.58,255.16,113894.23,539373.8,317727.88,3030.36,6214.65,29235.85,894.18,224142.68,35874.33,6111.41,3665.51,92805.16,7132.77,811.45,245559.73,3920.19,4129.45,5181.48,54070.48,1506.65,95372.51,107.98,46177.85,21733.28,260773.93,5389.28,8270.65,5611.78,8735.06,147003.73,266.66,4517.23,145480.42,3256.41,1482.11,318.84,2357.53,5549.75,529.37,267.57,222082.71,5921.53,4202.16,42087.99,6394.55,42248.14,611.9,33773.52,21311.68,3552.84,789.11,12244.4,111588.23,63320.6,8117.12,93726.7,1066.12,268123.11,8301.2,118909.14,10352.71,150.25,547.41,6165.8,4940.94,208.01,19222.84,1183.55,1025.74,22732.44,8805.73,57607.75,148074.71,72074.43,87.34,635.03,11673.14,1825.4,5984.99,610.52,19081.79,34311.16,13339.62,13309.57,13309.57,36036.43,8947.57,194084.1,61464.16,42087.9,68927.09,46183.89,5118.34,140907.15,31031.36,188.64,56275.4,1673.02,127624.16,240914.28,1454242.36,204026.09,65022.94,45277.9,25073.91,13127.85,2851.79,18454.48,362649.18,3515.87,10649.63,2133.88,9736.05,3009.83,10201.23,11912.33,44777.24,3836.65,60539.74
DDX5,6579.45,401.43,9025.16,28698.73,540.95,35975.25,3287.82,6090.84,347.6,5710.2,2295.41,1680.35,10488.45,10196.01,29351.37,35929.76,1000.95,439.24,755.77,35630.47,1004.53,10239.95,501963.7,3046.63,33889.71,32288.77,13765.66,239.84,577662.78,303.62,128423.01,534819.45,325429.0,3603.0,6739.3,24448.02,1155.96,206852.87,36526.98,6934.42,4486.06,91363.28,7621.94,897.77,254986.85,3797.53,4620.09,5585.22,53456.14,2607.62,99650.23,146.05,40636.78,19995.11,241881.95,5549.25,7736.15,5855.32,8617.05,165072.85,368.26,6734.82,123916.65,4092.92,1392.03,406.88,2245.19,7447.08,674.58,306.57,199360.38,6197.66,7515.53,42546.19,6942.65,42724.83,698.33,30839.59,23725.29,3479.82,1024.21,11870.76,125855.54,70896.38,9360.11,95847.31,1585.47,220600.94,7546.08,144296.72,13142.53,167.53,945.38,6925.92,4980.73,286.76,17731.74,1331.76,2674.19,23603.44,8127.18,51616.47,116337.65,99861.76,86.75,646.84,13828.4,1842.57,6618.16,701.99,42991.79,31438.92,15260.43,15226.92,15226.92,36127.67,9601.86,212430.81,56573.21,42546.09,72281.82,47107.66,4120.29,167109.18,31167.93,243.7,55962.59,2925.57,116277.28,259102.07,1568617.07,202407.68,59673.49,47578.45,26615.72,13693.05,3339.91,18649.54,367675.48,3914.74,13325.66,1862.32,10802.87,3362.5,11441.38,12531.87,47020.98,5094.71,63753.61
GJA1,7489.67,479.22,8602.91,24796.58,536.21,49694.84,2870.23,6146.04,594.49,5743.09,2406.7,1513.05,6214.55,9493.59,31615.35,42166.09,1059.27,424.76,520.98,41836.8,994.92,8815.55,518091.45,2267.66,48112.67,35881.12,12574.4,272.48,556917.54,287.02,104928.94,546003.61,347994.4,3367.15,6669.44,32423.66,956.0,234476.8,36688.14,6902.82,3691.72,94340.35,7750.05,925.52,269689.53,5108.63,4618.33,5809.62,56394.85,1551.74,86755.63,147.86,51028.36,23248.33,285246.32,5490.34,10567.91,5764.3,9023.2,162987.79,395.27,6938.94,165078.74,3835.58,2304.44,395.01,2386.89,4406.37,582.16,303.64,215725.88,6011.13,5674.52,40670.32,6538.99,40841.17,669.66,35462.0,22774.51,2964.55,955.56,13339.97,102474.41,68631.45,6114.51,100146.74,1503.28,292201.02,7838.77,137801.69,12768.52,202.44,964.12,7073.44,5898.81,335.75,20300.61,1329.54,1956.14,20451.69,8081.11,70954.82,154543.16,89192.75,151.13,752.33,12734.58,1686.64,6090.63,666.68,34022.42,36035.04,15356.37,15324.32,15324.32,43694.45,10141.16,211377.22,61452.5,40670.22,69136.58,45031.4,4257.99,153793.78,33648.68,330.98,58197.85,3677.34,144090.29,252158.08,1519912.94,184438.94,69095.46,42229.1,28210.77,12980.4,3194.39,15678.99,389432.25,4143.29,12368.24,2088.68,5350.1,3232.25,10711.17,9511.27,41696.18,5370.67,62169.63
SLC16A14,2868.98,126.5,7089.31,23119.4,501.87,16502.54,1074.39,4963.6,183.05,4500.66,649.26,887.35,3718.31,1493.44,10042.69,11906.25,640.0,431.76,111.24,15489.35,841.15,8192.87,427007.5,2433.34,14255.52,24190.69,8945.0,181.29,575195.08,275.73,97748.28,443395.94,256118.17,1574.22,4519.77,11443.98,453.0,125804.0,16948.16,2894.51,1583.5,70222.86,2956.25,767.29,207928.8,1900.78,4373.91,4530.67,38207.53,124.24,75794.68,119.31,21048.89,2667.8,189153.52,4952.95,3229.96,3699.41,3520.55,154882.31,310.17,5171.37,53381.28,544.67,348.34,259.75,216.35,86.31,461.49,281.08,143482.68,3125.92,3894.92,24812.32,6460.1,24991.62,679.33,14974.18,23673.36,2371.7,880.98,3369.19,95170.46,38901.84,5840.47,69657.95,659.92,122480.5,5936.78,142176.06,3127.12,62.55,542.72,4068.72,4140.4,140.25,8219.29,1264.3,983.92,15088.76,1168.86,50133.61,79257.22,80608.98,33.71,539.48,11277.38,183.57,3351.71,680.62,29313.06,15575.82,5764.15,5730.5,5730.5,18145.11,4441.28,193449.21,28655.37,24812.22,54640.42,29391.15,1387.15,163337.27,15014.11,105.95,24653.4,1218.27,63691.93,221513.42,1563908.23,163628.76,38433.99,32328.91,15499.57,2611.48,2724.95,15025.52,283828.67,3263.5,5890.64,1422.19,6237.5,3311.61,5723.95,8123.07,31769.3,1924.17,53508.53
MXRA5,4674.76,236.52,7796.01,16629.73,489.4,16042.79,1602.61,5860.35,205.29,5426.13,1230.5,944.45,6104.38,6073.02,20732.24,18140.63,783.74,416.17,208.91,20920.24,831.17,4513.58,351670.2,1905.94,37376.32,17616.78,10244.55,157.02,559643.07,270.9,89386.58,346549.44,189755.45,2032.49,5967.73,14750.12,694.77,120943.87,14495.23,4855.33,3223.99,59647.49,5625.69,754.45,140574.05,1970.6,4185.27,4832.07,35324.84,967.75,65539.29,112.94,27281.21,15233.77,127709.17,4957.91,6332.88,5402.48,7567.2,85381.44,279.93,4453.68,62254.47,1573.13,646.29,270.69,930.83,3782.11,461.52,274.01,137431.76,5202.38,3037.42,26299.73,6463.69,26470.57,646.56,17282.07,22589.78,2263.85,808.73,8498.45,86929.42,38413.07,6022.98,74585.18,903.99,145993.35,6393.62,61970.18,8667.51,81.95,487.06,4433.49,4413.92,139.86,9352.49,1223.56,1008.09,13225.27,5392.04,41583.83,100892.17,56070.13,46.64,600.81,9134.34,424.51,5936.01,645.59,12451.52,17855.63,6517.36,6485.31,6485.31,17094.7,5299.75,109254.76,34883.16,26299.63,54893.45,30664.92,2969.66,86222.74,16775.04,126.46,31308.99,1441.52,63471.11,160091.39,1519411.07,145761.87,39900.85,31194.42,12773.48,12479.43,2660.97,12911.85,218233.61,3191.02,5699.99,1723.39,7272.27,3178.66,6278.4,7107.83,30660.63,3164.75,48881.46
CXCL9,5886.48,281.04,7853.64,34022.7,564.87,26775.38,2583.12,5107.65,463.95,4590.5,1279.48,1986.5,8999.46,2486.93,17666.56,20523.64,842.38,473.76,433.75,25963.83,965.15,11507.28,447078.67,3386.86,20253.43,29483.16,11111.78,368.08,607409.58,326.09,124737.65,480130.56,264564.37,2821.91,6795.85,18043.35,1039.73,159592.5,32320.96,6654.36,2787.39,87847.1,4128.24,868.94,202117.96,2530.25,5152.96,5475.7,43786.83,244.43,96245.28,188.75,27920.48,6277.55,178267.41,5068.91,7417.05,5384.52,4942.57,141887.06,506.16,8233.28,75185.18,1550.92,651.93,321.59,724.9,541.8,644.01,336.18,168017.74,4785.23,8747.94,33435.69,7079.89,33627.9,768.64,23998.52,25296.2,3839.61,1216.15,5059.21,121976.95,57706.6,9588.79,84095.83,977.46,155410.11,8037.49,127308.21,9796.58,159.92,1135.95,5069.13,4865.43,336.36,13103.51,1406.57,4520.1,23732.77,2549.21,55618.29,94430.52,102942.66,60.36,636.61,16220.71,684.62,4656.16,765.91,78682.62,24643.14,14191.98,14155.9,14155.9,26522.55,7151.73,209229.58,40298.95,33435.58,65175.99,38342.01,2482.07,150427.08,24231.92,205.49,38399.27,3361.11,87093.9,224980.24,1641270.32,202101.19,48817.97,45114.31,30479.2,4327.66,3296.08,20736.36,302742.75,3652.22,8121.96,1721.7,9893.39,3583.61,9721.98,14357.56,44514.71,3723.73,59000.53
C3,2298.0,169.71,6351.55,11803.59,448.36,14704.01,856.16,4559.37,117.21,4176.14,952.46,719.22,2277.48,1612.88,10737.97,13108.07,656.67,384.13,126.65,15495.58,732.45,2452.01,308319.67,1419.84,18614.89,12397.41,7739.64,135.31,524733.02,242.71,72232.17,291214.11,152345.53,1375.25,4923.4,13076.82,442.3,107575.89,12767.86,2533.18,1323.43,33565.5,3519.56,705.86,106993.35,1921.8,3855.44,3901.15,12203.41,105.83,40575.37,95.19,22572.32,3028.96,125138.6,4974.29,3339.99,4305.56,3770.05,61311.11,249.41,3554.64,60070.19,391.34,510.73,231.15,319.73,119.24,407.62,249.77,104763.76,3113.92,1675.94,19683.29,6263.63,19841.92,597.08,15084.01,21088.61,1959.13,735.08,3836.74,69949.8,22231.58,4365.05,62997.51,607.25,104857.32,4015.63,47514.83,1664.96,78.65,295.63,3834.35,3981.02,107.18,7799.52,1122.91,358.54,11794.34,1388.49,34937.14,80947.43,41840.26,35.7,549.72,5699.32,168.89,3682.55,597.93,6469.88,15616.52,5639.56,5609.82,5609.82,14131.81,3936.21,94102.2,24256.71,19683.2,46330.24,23736.59,1729.93,63925.0,13033.53,76.08,22112.38,875.33,63056.84,118960.84,1432636.75,124718.3,29091.49,25293.65,9713.15,2323.6,2411.48,10851.43,184268.88,2980.67,3862.58,1330.38,4081.62,2952.84,4553.08,6508.35,24798.67,1327.54,34371.0
LUM,4521.89,274.01,6824.79,32548.29,469.19,30531.49,1850.0,5574.61,305.92,5162.42,1425.0,1320.04,8127.4,3392.51,23089.73,21101.94,806.05,387.64,327.6,24739.87,854.0,9231.28,451440.11,2429.28,29209.46,22721.0,12258.25,222.4,521421.37,258.15,130235.48,524724.58,284188.48,2219.23,6796.94,19874.11,1055.37,179582.85,32748.89,6689.17,3117.24,101025.09,4731.5,722.46,222765.59,2354.03,4198.81,5060.57,45574.02,424.79,107898.95,146.45,31334.26,12131.32,196790.13,5230.15,6732.1,5833.1,6683.42,150081.51,334.85,5979.45,87867.95,2064.08,770.6,287.23,1100.9,1528.38,529.8,276.96,187511.6,5185.19,6838.0,37169.83,6875.52,37326.1,608.85,26654.23,21004.36,3526.13,849.57,6536.7,127986.41,56081.94,9419.95,77516.35,899.52,191356.24,8808.13,129125.87,8826.14,146.03,1462.25,4882.06,4308.58,226.64,14443.87,1176.59,3390.03,24269.14,4597.54,51294.65,116716.44,79306.33,66.62,568.5,12211.63,708.69,5091.4,601.82,34348.21,27178.75,12214.12,12184.8,12184.8,25948.35,6799.43,180592.58,43939.6,37169.74,63382.99,41163.64,2775.63,156308.09,25255.72,192.85,40414.28,2208.07,91596.42,240549.29,1419749.04,211020.58,56169.34,49852.09,32188.84,7642.8,2868.84,22243.39,328377.17,3049.47,9284.87,1921.47,11366.62,2931.74,10405.03,13401.57,49364.09,3661.99,61284.44
IL1R2,4115.82,298.92,7516.13,22829.21,528.13,24768.41,1563.24,5074.92,175.25,4643.44,1112.1,1150.6,9744.69,2576.1,18935.85,20442.28,821.5,449.38,247.85,27355.91,877.7,6977.68,445718.89,2844.94,17947.71,20670.58,11323.83,181.87,592346.39,286.25,134366.72,500216.05,260055.87,2022.97,5885.55,19901.55,777.53,172433.62,28894.35,3729.48,3081.14,86797.66,4548.37,825.62,199682.45,2360.66,4589.99,4311.86,31732.43,215.18,100724.68,118.82,29820.45,6554.08,177399.87,4494.52,5020.05,5133.68,4995.54,133942.5,315.59,5322.34,80794.31,1357.88,587.33,283.74,1028.01,690.65,545.29,292.64,181196.61,4371.39,4667.06,35120.07,6625.49,35306.16,706.38,27169.81,24310.9,3669.28,927.04,4543.53,131694.96,52664.33,10360.25,84366.38,764.87,170036.97,8685.39,114468.94,3492.72,120.61,603.61,4907.83,4391.69,176.69,12989.57,1328.91,879.09,23183.0,2973.53,43660.32,97340.6,83278.46,42.83,621.57,11439.82,594.08,5187.53,713.98,28442.72,27793.84,8605.77,8570.85,8570.85,25510.83,5005.46,189145.11,43063.08,35119.97,65959.71,39868.88,2446.14,143813.2,22074.94,116.07,39196.28,1419.98,86641.13,225438.29,1604272.55,208986.46,52081.4,48370.47,30672.92,4078.67,3060.48,21588.73,309106.03,3498.13,6910.44,1689.77,11181.45,3436.9,7686.46,14120.43,47790.72,2206.27,55194.0
SRGN,4893.88,187.94,7713.75,29890.44,549.81,28720.54,2162.57,5469.29,450.24,4957.23,880.03,1754.25,9083.5,2166.96,17903.24,24526.88,818.75,470.0,329.22,29234.39,920.56,11422.22,433683.02,3473.69,15088.22,26684.36,12020.68,341.61,600808.38,315.66,112408.88,457476.16,251346.57,2311.79,6591.44,21481.25,943.54,177365.23,31985.65,6062.23,2506.93,82072.51,4094.72,863.56,183265.25,2646.04,5022.98,5239.39,40138.54,185.31,87297.23,172.61,32335.71,3670.53,187764.49,5066.06,8006.53,5302.3,5602.86,117556.95,477.68,8334.5,98045.49,2034.24,773.69,298.42,386.78,198.32,604.39,323.22,166677.71,4328.9,8519.88,33285.07,6877.49,33474.46,747.78,27429.5,24968.17,3859.92,1144.15,5214.87,109688.74,57679.06,9745.63,86269.55,985.38,178824.32,8230.66,107073.99,8017.61,154.3,1147.75,5143.61,5007.56,313.86,13728.73,1383.29,4402.43,22506.74,2479.48,48177.78,87389.21,89520.17,60.98,668.04,13904.89,410.08,4730.94,738.81,51609.09,28064.73,13418.06,13382.49,13382.49,29612.14,6922.38,176376.67,45201.58,33284.96,64605.27,38120.52,1847.31,124833.64,26592.13,179.02,42520.23,2803.97,105489.66,193755.36,1623096.52,186478.7,51805.2,42371.84,28261.9,3306.4,3235.37,20155.2,290615.49,3642.23,8439.61,1620.7,9510.91,3532.59,9666.71,13665.9,41781.19,3445.29,51660.76
DUSP1,3151.03,132.33,7430.88,16538.81,529.02,15309.15,1342.98,4314.21,193.36,3892.96,633.69,1032.91,4411.93,1546.37,9992.7,10856.6,643.83,458.61,132.87,13210.44,907.06,6130.19,336563.01,2221.8,10846.93,14125.56,7774.55,210.7,596233.42,290.37,89759.23,314311.18,169157.27,1788.47,3892.02,9927.41,546.81,96377.11,18955.64,3186.13,1666.56,61094.47,2677.85,805.92,124680.02,1977.22,4669.71,4155.02,26684.54,129.69,65416.49,133.4,17162.36,2554.08,110253.33,4869.7,2433.08,3012.19,2921.82,87442.98,346.05,5363.65,36498.0,727.32,363.24,272.89,206.8,78.26,492.26,303.19,120141.32,2831.45,3989.14,22710.49,6739.17,22898.77,722.21,13861.32,24800.9,2691.97,996.04,3065.6,87053.03,34056.1,6275.35,71099.96,706.4,80813.43,5922.03,76510.32,4404.0,68.01,602.95,4262.98,4118.15,166.38,7977.71,1337.44,1201.34,16485.48,1181.78,34965.77,68001.23,60363.03,43.95,556.56,10044.46,193.38,2544.45,721.89,35786.21,14492.71,6431.98,6396.66,6396.66,14283.68,4893.8,127470.6,24174.97,22710.38,54011.3,27519.62,1410.35,96783.74,13116.51,169.73,22029.12,1183.84,46447.34,148744.42,1619622.29,147755.74,30000.9,31439.11,15100.08,2666.57,2928.68,14701.91,191908.5,3430.09,5332.03,1250.73,6310.98,3487.2,6123.13,9681.56,30851.59,1694.3,37737.79
NRIP3,3623.43,142.66,6809.56,29071.12,485.87,19535.89,1766.12,4741.76,513.96,4275.51,641.27,1411.12,8710.78,1714.5,14905.63,16603.09,654.92,418.78,277.34,21737.07,830.39,10001.35,368235.37,3114.89,13237.73,23520.0,10249.49,272.37,546177.75,279.53,126715.02,424027.25,202341.37,1845.81,4893.73,14701.59,849.03,134106.76,30945.25,4660.11,2390.63,83247.39,3467.83,734.18,154239.0,2058.81,4350.66,4669.43,36101.39,149.94,98734.73,142.79,23036.59,3008.74,133089.59,5134.72,4839.53,3785.5,4035.31,108853.24,393.4,7409.55,49726.18,1354.54,477.74,256.24,268.32,115.06,525.84,289.52,153983.58,3315.58,8016.84,31645.14,6927.99,31813.6,651.75,22016.52,22267.84,3662.55,935.6,3728.82,124293.31,53178.26,10057.23,73112.73,845.91,113319.6,8003.9,95157.96,6131.13,123.93,1131.41,4302.58,4179.38,244.27,11236.61,1237.09,3498.2,23328.16,1824.14,40439.78,79540.85,76176.2,45.6,525.66,12800.67,319.96,3113.0,651.95,48283.11,22581.64,9977.71,9946.07,9946.07,22062.47,5658.44,169328.23,35790.36,31645.04,59648.83,35948.37,1503.69,120526.22,20218.99,162.51,33703.16,2121.18,66361.27,187012.33,1486336.82,196301.79,43598.07,45294.36,27969.88,2845.05,2870.51,21312.21,240024.66,3139.83,7070.67,1361.16,10466.62,3127.94,8842.95,13947.83,44769.08,2523.72,51268.06
